Stock_Code,Quarter_Date,Gross Profit,Cost Of Revenue,Total Revenue,Net Income,close_date,Price,Company Name,GICS Sector,GICS Sub Industry,Founded,State,Province
ACN,11/30/2023,5447941000,10776362000,16224303000,1973444000,3/14/2024,378.2099915,Accenture,Information Technology,IT Consulting & Other Services,1989,Ireland,Dublin
ACN,11/30/2023,5447941000,10776362000,16224303000,1973444000,3/15/2024,374.6000061,Accenture,Information Technology,IT Consulting & Other Services,1989,Ireland,Dublin
ACN,8/31/2023,5181629000,10803571000,15985200000,1372963000,3/11/2024,373.2200012,Accenture,Information Technology,IT Consulting & Other Services,1989,Ireland,Dublin
ACN,8/31/2023,5181629000,10803571000,15985200000,1372963000,3/12/2024,380.480011,Accenture,Information Technology,IT Consulting & Other Services,1989,Ireland,Dublin
ACN,8/31/2023,5181629000,10803571000,15985200000,1372963000,3/13/2024,378.7200012,Accenture,Information Technology,IT Consulting & Other Services,1989,Ireland,Dublin
ACN,8/31/2023,5181629000,10803571000,15985200000,1372963000,3/14/2024,378.2099915,Accenture,Information Technology,IT Consulting & Other Services,1989,Ireland,Dublin
ACN,8/31/2023,5181629000,10803571000,15985200000,1372963000,3/15/2024,374.6000061,Accenture,Information Technology,IT Consulting & Other Services,1989,Ireland,Dublin
ACN,5/31/2023,5529070000,11035515000,16564585000,2009996000,3/11/2024,373.2200012,Accenture,Information Technology,IT Consulting & Other Services,1989,Ireland,Dublin
ACN,5/31/2023,5529070000,11035515000,16564585000,2009996000,3/12/2024,380.480011,Accenture,Information Technology,IT Consulting & Other Services,1989,Ireland,Dublin
ACN,5/31/2023,5529070000,11035515000,16564585000,2009996000,3/13/2024,378.7200012,Accenture,Information Technology,IT Consulting & Other Services,1989,Ireland,Dublin
ACN,5/31/2023,5529070000,11035515000,16564585000,2009996000,3/14/2024,378.2099915,Accenture,Information Technology,IT Consulting & Other Services,1989,Ireland,Dublin
ACN,5/31/2023,5529070000,11035515000,16564585000,2009996000,3/15/2024,374.6000061,Accenture,Information Technology,IT Consulting & Other Services,1989,Ireland,Dublin
ACN,2/28/2023,4834766000,10979392000,15814158000,1523648000,3/11/2024,373.2200012,Accenture,Information Technology,IT Consulting & Other Services,1989,Ireland,Dublin
ACN,2/28/2023,4834766000,10979392000,15814158000,1523648000,3/12/2024,380.480011,Accenture,Information Technology,IT Consulting & Other Services,1989,Ireland,Dublin
ACN,2/28/2023,4834766000,10979392000,15814158000,1523648000,3/13/2024,378.7200012,Accenture,Information Technology,IT Consulting & Other Services,1989,Ireland,Dublin
ACN,2/28/2023,4834766000,10979392000,15814158000,1523648000,3/14/2024,378.2099915,Accenture,Information Technology,IT Consulting & Other Services,1989,Ireland,Dublin
ACN,2/28/2023,4834766000,10979392000,15814158000,1523648000,3/15/2024,374.6000061,Accenture,Information Technology,IT Consulting & Other Services,1989,Ireland,Dublin
ADBE,11/30/2023,4414000000,634000000,5048000000,1483000000,3/11/2024,560.4199829,Adobe Inc.,Information Technology,Application Software,1982,California,San Jose
ADBE,11/30/2023,4414000000,634000000,5048000000,1483000000,3/12/2024,579.1400146,Adobe Inc.,Information Technology,Application Software,1982,California,San Jose
ADBE,11/30/2023,4414000000,634000000,5048000000,1483000000,3/13/2024,573.5499878,Adobe Inc.,Information Technology,Application Software,1982,California,San Jose
ADBE,11/30/2023,4414000000,634000000,5048000000,1483000000,3/14/2024,570.4500122,Adobe Inc.,Information Technology,Application Software,1982,California,San Jose
ADBE,11/30/2023,4414000000,634000000,5048000000,1483000000,3/15/2024,492.4599915,Adobe Inc.,Information Technology,Application Software,1982,California,San Jose
ADBE,8/31/2023,4310000000,580000000,4890000000,1403000000,3/11/2024,560.4199829,Adobe Inc.,Information Technology,Application Software,1982,California,San Jose
ADBE,8/31/2023,4310000000,580000000,4890000000,1403000000,3/12/2024,579.1400146,Adobe Inc.,Information Technology,Application Software,1982,California,San Jose
ADBE,8/31/2023,4310000000,580000000,4890000000,1403000000,3/13/2024,573.5499878,Adobe Inc.,Information Technology,Application Software,1982,California,San Jose
ADBE,8/31/2023,4310000000,580000000,4890000000,1403000000,3/14/2024,570.4500122,Adobe Inc.,Information Technology,Application Software,1982,California,San Jose
ADBE,8/31/2023,4310000000,580000000,4890000000,1403000000,3/15/2024,492.4599915,Adobe Inc.,Information Technology,Application Software,1982,California,San Jose
ADBE,5/31/2023,4244000000,572000000,4816000000,1295000000,3/11/2024,560.4199829,Adobe Inc.,Information Technology,Application Software,1982,California,San Jose
ADBE,5/31/2023,4244000000,572000000,4816000000,1295000000,3/12/2024,579.1400146,Adobe Inc.,Information Technology,Application Software,1982,California,San Jose
ADBE,5/31/2023,4244000000,572000000,4816000000,1295000000,3/13/2024,573.5499878,Adobe Inc.,Information Technology,Application Software,1982,California,San Jose
ADBE,5/31/2023,4244000000,572000000,4816000000,1295000000,3/14/2024,570.4500122,Adobe Inc.,Information Technology,Application Software,1982,California,San Jose
ADBE,5/31/2023,4244000000,572000000,4816000000,1295000000,3/15/2024,492.4599915,Adobe Inc.,Information Technology,Application Software,1982,California,San Jose
ADBE,2/28/2023,4087000000,568000000,4655000000,1247000000,3/11/2024,560.4199829,Adobe Inc.,Information Technology,Application Software,1982,California,San Jose
ADBE,2/28/2023,4087000000,568000000,4655000000,1247000000,3/12/2024,579.1400146,Adobe Inc.,Information Technology,Application Software,1982,California,San Jose
ADBE,2/28/2023,4087000000,568000000,4655000000,1247000000,3/13/2024,573.5499878,Adobe Inc.,Information Technology,Application Software,1982,California,San Jose
ADBE,2/28/2023,4087000000,568000000,4655000000,1247000000,3/14/2024,570.4500122,Adobe Inc.,Information Technology,Application Software,1982,California,San Jose
ADBE,2/28/2023,4087000000,568000000,4655000000,1247000000,3/15/2024,492.4599915,Adobe Inc.,Information Technology,Application Software,1982,California,San Jose
AMD,12/31/2023,2911000000,3257000000,6168000000,667000000,3/11/2024,198.3899994,Advanced Micro Devices,Information Technology,Semiconductors,1969,California,Santa Clara
AMD,12/31/2023,2911000000,3257000000,6168000000,667000000,3/12/2024,202.7599945,Advanced Micro Devices,Information Technology,Semiconductors,1969,California,Santa Clara
AMD,12/31/2023,2911000000,3257000000,6168000000,667000000,3/13/2024,194.7899933,Advanced Micro Devices,Information Technology,Semiconductors,1969,California,Santa Clara
AMD,12/31/2023,2911000000,3257000000,6168000000,667000000,3/14/2024,187.0599976,Advanced Micro Devices,Information Technology,Semiconductors,1969,California,Santa Clara
AMD,12/31/2023,2911000000,3257000000,6168000000,667000000,3/15/2024,191.0599976,Advanced Micro Devices,Information Technology,Semiconductors,1969,California,Santa Clara
AMD,9/30/2023,2747000000,3053000000,5800000000,299000000,3/11/2024,198.3899994,Advanced Micro Devices,Information Technology,Semiconductors,1969,California,Santa Clara
AMD,9/30/2023,2747000000,3053000000,5800000000,299000000,3/12/2024,202.7599945,Advanced Micro Devices,Information Technology,Semiconductors,1969,California,Santa Clara
AMD,9/30/2023,2747000000,3053000000,5800000000,299000000,3/13/2024,194.7899933,Advanced Micro Devices,Information Technology,Semiconductors,1969,California,Santa Clara
AMD,9/30/2023,2747000000,3053000000,5800000000,299000000,3/14/2024,187.0599976,Advanced Micro Devices,Information Technology,Semiconductors,1969,California,Santa Clara
AMD,9/30/2023,2747000000,3053000000,5800000000,299000000,3/15/2024,191.0599976,Advanced Micro Devices,Information Technology,Semiconductors,1969,California,Santa Clara
AMD,6/30/2023,2443000000,2916000000,5359000000,27000000,3/11/2024,198.3899994,Advanced Micro Devices,Information Technology,Semiconductors,1969,California,Santa Clara
